first_name,last_name,company_name,address,city,province,postal,phone1,email,web,exam_1,exam_2,exam_3,Dept,transcode
Paulene,Rhule,Beck Corporation,21 E 64th Ave,Matane,QC,G4W 3G6,418-348-2107,paulene_rhule@rhule.org,http://www.beckcorporation.com,54,88,61,POL,Code024
Carole,Hughlett,"Kolodny, Howard Esq",9 N Central Ave,Abbotsford,BC,V2S 5R3,604-262-8556,carole_hughlett@hughlett.com,http://www.kolodnyhowardesq.com,100,53,76,MATH,Code007
Miss,Dunning,Mcgladrey & Pullen,38 Douglas Rd E #39,Regina,SK,S4R 1J5,306-508-8874,mdunning@gmail.com,http://www.mcgladreypullen.com,99,54,80,BIO,Code083
Elfrieda,Hinsch,Y 105 Kgfy,4929 Sidney St #8276,Vernon,BC,V1T 4A3,250-454-9384,elfrieda_hinsch@hinsch.org,http://www.ykgfy.com,86,,64,PHY,Code085
Edelmira,Calzado,Chagrin Wine & Beverage Co,4936 Walcott Rd,Regina,SK,S4R 3M1,306-611-7185,edelmira@hotmail.com,http://www.chagrinwinebeverageco.com,65,65,92,POL,Code086
Jaime,Wasurick,"Lewis, George L Esq",6760 E Fayette St #9,Saint-Damien,QC,J0K 2N1,450-531-8633,jaime_wasurick@hotmail.com,http://www.lewisgeorgelesq.com,94,66,73,POL,Code054
Lera,Hua,York Services Landscpg Divsn,6638 S Webster St #491,Miramichi,NB,E1V 2N4,506-556-4300,lhua@aol.com,http://www.yorkserviceslandscpgdivsn.com,80,81,85,PHY,Code073
Jame,Mastro,Janney Montgomery Scott Inc,4465 James St,Kitchener,ON,N2N 1Y6,519-920-7003,jmastro@aol.com,http://www.janneymontgomeryscottinc.com,69,83,72,MATH,Code048
Jillian,Hailstone,Global Securities Info Inc,8721 Everett Rd,Mississauga,ON,L4Z 2V7,905-864-2257,jhailstone@yahoo.com,http://www.globalsecuritiesinfoinc.com,93,50,99,POL,Code051
Louis,Zarling,Dealers Mfg Co,6 E Kingsbridge Rd,Stoneham-Et-Tewkesbury,QC,G3C 2A8,418-568-3216,louis@zarling.com,http://www.dealersmfgco.com,56,81,95,PHY,Code031
Emmett,Mcshaw,"Yaffa, Michael Esq",920 Union Blvd,Sault Ste. Marie,ON,P6B 5Y2,705-581-1220,emmett_mcshaw@cox.net,http://www.yaffamichaelesq.com,92,65,59,POL,Code008
Tammy,Sams,Photos Inc,5 Secaucus Rd,Nanaimo,BC,V9R 5W6,250-226-1002,tammy_sams@sams.com,http://www.photosinc.com,98,77,96,BIO,Code055
Willis,Wylie,Acquired Knowledge Inc,646 9th St,Saint-Raymond,QC,G3L 3X9,418-833-1949,willis@yahoo.com,http://www.acquiredknowledgeinc.com,,93,71,BIO,Code035
Maxima,Brzozowski,B Js Body Shop,864 Aupuni St,St Catharines,ON,L2T 2V2,905-569-6732,mbrzozowski@aol.com,http://www.bjsbodyshop.com,75,56,68,MATH,Code087
Boris,Latif,Emlou Boutique,9390 Fortin Dr,Quebec,QC,G1M 2H8,418-459-4884,boris.latif@latif.com,http://www.emlouboutique.com,58,88,92,PHY,Code024
Salina,Knavel,Schiller & Osbourn,4 Newark St,Arnprior,ON,K7S 2G8,613-280-7170,salina.knavel@gmail.com,http://www.schillerosbourn.com,52,83,61,POL,Code087
Justa,Dini,Superior Coffee & Foods,8 J St,Vernon,BC,V1T 6J8,250-982-9377,justa.dini@hotmail.com,http://www.superiorcoffeefoods.com,67,91,75,POL,Code042
Amalia,Wolfgang,"Knutson, Becky S Esq",394 Dice Rd #861,Windsor,ON,N8N 3V8,519-219-3608,amalia_wolfgang@wolfgang.org,http://www.knutsonbeckysesq.com,84,76,83,POL,Code052
Felix,Tutterrow,Corinth Dry Cleaners,92 W 39th St #9990,London,ON,N6G 3E5,519-426-7161,ftutterrow@tutterrow.org,http://www.corinthdrycleaners.com,79,77,79,POL,Code049
Eura,Mcglocklin,Graphic Color Litho Inc,9 N Monroe St,Lloydminster,SK,S9V 0C6,306-979-2571,eura@mcglocklin.org,http://www.graphiccolorlithoinc.com,67,68,,BIO,Code053
Lang,Heuring,Hill Realty Property Mgmt,2 Global Rd,Cambridge,ON,N1R 2X2,519-985-7311,lang@cox.net,http://www.hillrealtypropertymgmt.com,50,53,60,PHY,Code098
Agustin,Lakatos,"Thrasher, John E Esq",23 E Wacker Dr #64,Becancour,QC,G9H 4T4,819-365-5394,agustin.lakatos@hotmail.com,http://www.thrasherjohneesq.com,98,64,87,BIO,Code084
Jaime,Lowrance,Sams Liquor & Deli,1 Nw 167th St,Winnipeg,MB,R3J 2Z1,204-438-6204,jaime.lowrance@lowrance.org,http://www.samsliquordeli.com,84,66,63,POL,Code020
Carman,Gudiel,"Weiss, Martin Esq",1 Frontage Rd,St. Johns,NL,A1B 5B3,709-366-8943,carman@gmail.com,http://www.weissmartinesq.com,75,70,77,POL,Code056
Argelia,Hofbauer,Medical Productions,5 Columbia,North Vancouver,BC,V7J 2J9,604-823-2881,argelia.hofbauer@cox.net,http://www.medicalproductions.com,76,57,89,MATH,Code006
Mammie,Cisney,"Arellano, Cecilia S Md",14 E 30th St,Montreal,QC,H1E 1R4,514-205-4258,mammie@cox.net,http://www.arellanoceciliasmd.com,92,76,54,POL,Code013
Rashad,Menino,World Sign Associates,8 Commercial Ave,Carleton Place,ON,K7C 2T3,613-697-2555,rashad.menino@menino.com,http://www.worldsignassociates.com,56,59,55,POL,Code039
Janna,Bastain,"Hastings, Robert R Jr",41 Drive  Hwy 54s S,Vancouver,BC,V6N 3C5,604-575-7837,janna@bastain.com,http://www.hastingsrobertrjr.com,79,68,67,MATH,Code088
Callie,Neikirk,"Shields, Sheridn Cpa",6601 Park Ave #9924,Mississauga,ON,L4T 0A1,905-465-6909,callie.neikirk@neikirk.org,http://www.shieldssheridncpa.com,95,96,74,POL,Code067
Coral,Helmcamp,Hepco Inc,4184 E 142nd St,Toronto,ON,M5V 0B4,416-589-6075,coral.helmcamp@helmcamp.org,http://www.hepcoinc.com,83,93,78,MATH,Code098
Xenia,Mushero,Institute For Law & Jstc Inc,1 El Camino Ave #39,Kingston,ON,K7K 1P6,613-714-1829,xenia@aol.com,http://www.instituteforlawjstcinc.com,85,98,94,MATH,Code041
Adelle,Nitcher,John J Mccarthy Agency Inc,10 Midway Dr,Thorold,ON,L2V 5C7,905-998-3758,anitcher@aol.com,http://www.johnjmccarthyagencyinc.com,80,100,92,MATH,Code043
Hildegarde,Wehrwein,Ocean State Rental Corp,2 Cottman Ave,West Vancouver,BC,V7T 1R7,604-960-7463,hwehrwein@gmail.com,http://www.oceanstaterentalcorp.com,69,95,52,BIO,Code084
Phuong,Sugai,"Scholtes, William E Esq",8926 E 119th St #9,Lavaltrie,QC,J5T 2C7,450-501-4406,psugai@gmail.com,http://www.scholteswilliameesq.com,95,83,92,BIO,Code064
Leontine,Lafoy,"Caffrey, John F Esq",191 Richland St #5,Quebec,QC,G1J 4B2,418-271-8667,llafoy@aol.com,http://www.caffreyjohnfesq.com,64,90,66,MATH,Code067
Darell,Mcalarney,Janney Montgomery Scott Inc,8 E 92nd St,Ajax,ON,L1S 6V3,905-846-7737,darell_mcalarney@mcalarney.com,http://www.janneymontgomeryscottinc.com,65,56,82,PHY,Code045
Madonna,Landman,"Brown, Glenn Esq",283 Andover St,Castlegar,BC,V1N 3P7,250-.07-7698,madonna.landman@landman.com,http://www.brownglennesq.com,93,76,66,POL,Code013
Chuck,Berggren,Weyerhaeuser Paper Co,764 Louisville Plac,St. Johns,NL,A1E 2L8,709-534-6576,chuck@gmail.com,http://www.weyerhaeuserpaperco.com,88,50,54,PHY,Code089
Gregg,Epperheimer,Best Western Sterling House,59 W Jackson Blvd #11,Lasalle,QC,H8R 3T2,514-302-4158,gepperheimer@aol.com,http://www.bestwesternsterlinghouse.com,85,55,69,POL,Code062
Yan,Bubrig,Database Programming & Design,712 N 5th St,Grand Manan,NB,E5G 1L1,506-493-4894,yan@cox.net,http://www.databaseprogrammingdesign.com,64,53,85,POL,Code043
Stephanie,Garlett,Brown Shoe Co,6 L St #1761,Kanata,ON,K2T 1G5,613-557-7338,stephanie.garlett@gmail.com,http://www.brownshoeco.com,52,68,92,PHY,Code086
Alberto,Stenquist,Dowell Associates Inc,6126 E 14th St #6,St Catharines,ON,L2N 6C7,905-435-9456,alberto_stenquist@stenquist.org,http://www.dowellassociatesinc.com,100,59,85,MATH,Code046
Wayne,Shivers,Ram Page,865 Ponce De Leon Blvd,Chicoutimi,QC,G7H 6A2,418-374-1965,wayne@aol.com,http://www.rampage.com,83,76,83,PHY,Code060
Kristal,Bothe,L A Kennedy Inc,896 Pershing Ave,Paradise,NL,A1L 2Y8,709-976-5766,kristal@hotmail.com,http://www.lakennedyinc.com,50,78,95,PHY,Code068
Florencia,Stadel,"Cornwell, Michael C Esq",178 Riverdale Rd,Ingersoll,ON,N5C 2W2,519-961-7871,fstadel@gmail.com,http://www.cornwellmichaelcesq.com,67,71,74,POL,Code086
Darrin,Tumolillo,Metro Press,4 Pedretti Ave #2,Saskatoon,SK,S7H 1X9,306748-5721,darrin@tumolillo.com,http://www.metropress.com,67,60,63,PHY,Code045
Freeman,Rudig,Ramsey Secretarial Service,4 W Sedgley Ave,Otterburn Park,QC,J3H 4V8,450-347-6388,freeman@yahoo.com,http://www.ramseysecretarialservice.com,62,83,71,BIO,Code091
Lazaro,Mollison,United Drilling Inc,31 E Middlefield Rd #8555,Beloeil,QC,J3G 3J4,450-356-6427,lazaro@gmail.com,http://www.uniteddrillinginc.com,85,76,71,POL,Code013
Ellsworth,Rieg,Peyote Bird Designs,7662 Us Highway 46 #9003,Napanee,ON,K7R 1K5,613-862-4724,erieg@hotmail.com,http://www.peyotebirddesigns.com,86,71,81,PHY,Code072
Brinda,Mrkvicka,Gittleman Muhlstock,1 Park Ave,Newbridge,NB,E7N 1J4,506-392-8334,brinda.mrkvicka@gmail.com,http://www.gittlemanmuhlstock.com,77,91,78,POL,Code071
Florinda,Mackedanz,"Hoyt, Robert F Esq",2782 Midland Ave,Dieppe,NB,E1A 8X6,506-230-8075,florinda_mackedanz@mackedanz.org,http://www.hoytrobertfesq.com,90,98,79,MATH,Code010
Nadine,Swartzbeck,Contact Enterprises,3 Federal Blvd,Beloeil,QC,J3G 4M4,450-353-2331,nadine_swartzbeck@swartzbeck.org,http://www.contactenterprises.com,77,85,59,MATH,Code081
Arlette,Torchio,A All In One Construction,485 Rolling Rd,Lasalle,QC,H8R 3C2,514-459-6883,arlette_torchio@hotmail.com,http://www.aallinoneconstruction.com,55,73,74,POL,Code041
Adolph,Krivanec,Sas Rubber Inc,6605 Federal St,Etobicoke,ON,M8Y 3L6,416-736-1436,akrivanec@hotmail.com,http://www.sasrubberinc.com,50,92,88,PHY,Code080
Georgiana,Colbath,Stewart Filmscreen Corp,505 E 9mile Rd,Sainte-Therese,QC,J7E 3C9,450-409-1254,gcolbath@hotmail.com,http://www.stewartfilmscreencorp.com,72,77,76,PHY,Code090
Rana,Lehn,"Freeman, Steven R Esq",32 Rocklyn Ave,Milton,ON,L9T 5W8,905-286-8285,rlehn@yahoo.com,http://www.freemanstevenresq.com,64,99,68,PHY,Code088
Chi,Morgan,"Holmes, Armstead J Esq",2953 5th Ave #27,Saint-Raymond,QC,G3L 3K2,418-922-5578,chi@gmail.com,http://www.holmesarmsteadjesq.com,92,82,71,BIO,Code056
Starr,Prothro,Gs Roofing Company,133 Us Highway 206,Chicoutimi,QC,G7H 4M5,418-811-3750,sprothro@prothro.com,http://www.gsroofingcompany.com,57,82,83,POL,Code076
Glennis,Roseum,York Services Landscpg Divsn,1 Pershing Ave,Brandon,MB,R7A 4C6,204-514-9319,glennis.roseum@gmail.com,http://www.yorkserviceslandscpgdivsn.com,95,64,60,PHY,Code094
Thea,Petermeier,Anderson Heather Zane,402 Santa Isabel Ave,Sept-Iles,QC,G4S 1Z5,418-360-6739,thea@hotmail.com,http://www.andersonheatherzane.com,88,68,86,POL,Code016
Rosalind,Persechino,Grand Prairie Chamber Commrce,86 Shady Run Rd,Kanata,ON,K2M 1E6,613-975-5760,rosalind.persechino@aol.com,http://www.grandprairiechambercommrce.com,97,71,64,BIO,Code055
Shenika,Tapian,Helco Sales Co,4 Collier Rd Nw,Ottawa,ON,K1S 1N5,613-219-1869,shenika.tapian@aol.com,http://www.helcosalesco.com,56,60,57,MATH,Code093
Veta,Vandeberg,"Rickard, Deborah S",940 E Jefferson Ave,Juniper,NB,E7L 1G1,506-996-1241,vvandeberg@gmail?com,http://www.rickarddeborahs.com,97,89,65,POL,Code067
Herschel,Geneseo,Molded Dimensions Inc,7753 W 8th,Toronto,ON,M4V 1Y3,416-786-7887,herschel@geneseo.com,http://www.moldeddimensionsinc.com,95,59,50,POL,Code026
Dianne,Tomasic,"Samios, Gus Esq",53 6  17 M At Bradleys,Dartmouth,NS,B2Y 3L2,902-938-6891,dianne@yahoo.com,http://www.samiosgusesq.com,92,63,95,PHY,Code018
Micah,Gerten,Fairfield Inn,103 Madison Ave,St. Johns,NL,A1E 2J5,709-581-5842,micah@cox.net,http://www.fairfieldinn.com,73,99,68,MATH,Code023
Kaycee,Alaibilla,A & H Sptc Systems & Matl Inc,8788 E 64th Ave,Vancouver,BC,V6R 1N3,604-992-6045,kaycee.alaibilla@yahoo.com,http://www.ahsptcsystemsmatlinc.com,95,79,67,POL,Code095
Tesha,Brang,Butler Tool & Design Inc,831 Vanowen St #5,Montreal,QC,H4K 2N2,514-432-5290,tesha@aol.com,http://www.butlertooldesigninc.com,59,71,59,PHY,Code050
Marya,Chhour,Auchter Industrial Vac Inc,661 Pitkin Ave,Calgary,AB,T3Z 3S8,403-382-4146,marya@cox.net,http://www.auchterindustrialvacinc.com,66,60,85,MATH,Code067
Ronnie,Kettelle,Pure Wtr Inc Wrldwd Corprt,3 Avenue Rt 295 #199,Halifax,NS,B3H 1M2,902-367-7042,ronnie_kettelle@aol.com,http://www.purewtrincwrldwdcorprt.com,78,91,98,BIO,Code097
Mabel,Fower,"Swartz, John L Esq",709 W Waters Ave,Chicoutimi,QC,G7H 3T5,418-339-7473,mabel_fower@fower.com,http://www.swartzjohnlesq.com,69,92,98,BIO,Code023
Harley,Works,Alliance Construction Co Inc,27 Spring St,Woodstock,ON,N4S 2K1,519-913-7772,harley@cox.net,http://www.allianceconstructioncoinc.com,84,65,93,PHY,Code089
Joye,Nedman,Valley Credit Union,9 Court St,Regina,SK,S4N 3J4,306-991-3698,joye@cox.net,http://www.valleycreditunion.com,73,99,98,MATH,Code085
Luisa,Harnish,Level Export Sales Corp,82 Westminster Blvd,Vancouver,BC,V5X 2B5,604-399-1449,lharnish@harnish.com,http://www.levelexportsalescorp.com,67,83,91,POL,Code083
Stacey,Lortz,Electrical Workers Unon Ibew,5039 Coffee Rd,Scarborough,ON,M1K 1H4,416-310-1610,stacey_lortz@aol.com,http://www.electricalworkersunonibew.com,50,64,53,POL,Code041
Reyes,Mesmer,"Richardson, David J Esq",9 E Thayer Ave #3,Hamilton,ON,L8S 2N1,905-402-9203,reyes@mesmer.org,http://www.richardsondavidjesq.com,59,51,88,BIO,Code048
Avery,Demus,Carriage House Cllsn Rpr Inc,1 Highland Ave,Maple Ridge,BC,V4R 1Z3,604-548-4412,avery.demus@aol.com,http://www.carriagehousecllsnrprinc.com,57,100,87,BIO,Code080
Colby,Scotts,Mass Human Services Coalition,7 E 1st St,Barrie,ON,L4N 3M9,705-668-5094,cscotts@aol.com,http://www.masshumanservicescoalition.com,66,95,65,POL,Code009
Afton,Wrinkle,Super 8 Motel,652 5th Ave,Ottawa,ON,K1N 6S5,613-851-7883,awrinkle@wrinkle.org,http://www.supermotel.com,53,96,52,BIO,Code057
India,Sifford,Fashion Shop & Save,162 Sunrise Plz,Toronto,ON,M5N 1J1,416-866-6707,isifford@sifford.org,http://www.fashionshopsave.com,68,58,89,MATH,Code050
Brunilda,Coin,Young Contractors Inc,300 Congers Rd #77,Saint-Paul,NB,E4T 3B9,50.-327-7460,brunilda_coin@aol.com,http://www.youngcontractorsinc.com,81,56,82,PHY,Code056
Jenifer,Emanuel,"Bambrickv, Timothy F Esq",78 152nd Ave #4179,Duncan,BC,V9L 4G2,250-947-2063,jemanuel@emanuel.com,http://www.bambrickvtimothyfesq.com,100,52,54,PHY,Code069
Makeda,Nosis,Lloyds Screenprinting,956 Sierra Ave,Toronto,ON,M5K 1A1,416-827-4082,makeda.nosis@yahoo.com,http://www.lloydsscreenprinting.com,97,90,60,PHY,Code098
Vivan,Oppy,Record Journal,4696 Alewa Dr,Swift Current,SK,S9H 3S9,306-325-3090,voppy@gmail.com,http://www.recordjournal.com,77,87,51,BIO,Code007
Eric,Gazzola,Moriah Fund Inc,732 Congress St,Saint-Georges,QC,G5Z 0N4,418-274-7373,eric@cox.net,http://www.moriahfundinc.com,64,67,74,POL,Code004
Thersa,Davirro,"Herstein, Elliot J",863 E Mcdowell Rd,Kamloops,BC,V2C 6S8,250-540-5275,thersa.davirro@aol.com,http://www.hersteinelliotj.com,51,63,89,PHY,Code024
Mindy,Presnal,"Gavin, William H Esq",82 Us Highway 111,Vancouver,BC,V5X 3K2,604-213-8721,mpresnal@yahoo.com,http://www.gavinwilliamhesq.com,84,76,72,BIO,Code055
Luis,Metzner,Hyman And Lippitt,8868 S Arroyo Pkwy #996,Trois-Rivieres,QC,G8V 2J6,819-860-8913,lmetzner@metzner.org,http://www.hymanandlippitt.com,97,60,97,PHY,Code085
Dawne,Mcloud,Bridger Scientific Inc,25 Keystone Xing,Stoney Creek,ON,L8E 2E4,905-760-9649,dmcloud@cox.net,http://www.bridgerscientificinc.com,72,72,73,MATH,Code089
Karrie,Kinikini,Lohmeyer Corrigan Taylor Pc,491 Main St #893,Kamloops,BC,V2B 7X9,250-384-7658,karrie_kinikini@kinikini.org,http://www.lohmeyercorrigantaylorpc.com,85,65,86,PHY,Code066
Mozelle,Hermon,Comfort Inn Of Lincoln,523 Spencerville Ct,Mount Pisgah,NB,E4G 1E8,506-573-3112,mozelle_hermon@cox.net,http://www.comfortinnoflincoln.com,58,53,68,BIO,Code086
Mila,Hair,Bobby Reed Attorney At Law,515 S Main St,Saint-Leonard,QC,H1P 1M8,514-945-2978,mhair@cox.net,http://www.bobbyreedattorneyatlaw.com,66,53,77,POL,Code033
Gilma,Jefferys,Celestin Design Centre,147 E Centre St,Halifax,NS,B3H 4E1,902p804-8543,gjefferys@aol.com,http://www.celestindesigncentre.com,86,82,60,PHY,Code049
Armanda,Mcduffie,"Voils, Otis V",989 Wyatt Dr #7,Cowansville,QC,J2K 2M6,450-866-7181,armanda.mcduffie@hotmail.com,http://www.voilsotisv.com,66,94,95,BIO,Code033
Vonda,Normandeau,Crisell Cohee & Co,9891 Main St,Mirabel,QC,J7J 1G7,450-706-3809,vonda@yahoo.com,http://www.crisellcoheeco.com,51,58,98,POL,Code086
Truman,Mondale,"Metz, Roger E Esq",1657 N Green St,Peterborough,ON,K9J 0A1,705-757-7389,truman.mondale@aol.com,http://www.metzrogereesq.com,87,57,100,BIO,Code019
Elvis,Tenuta,Beloit Boxboard Co,6437 Date Palm Dr,Calgary,AB,T2B 0X5,403-415-1285,elvis_tenuta@tenuta.org,http://www.beloitboxboardco.com,68,88,76,MATH,Code026
Loise,Dedaj,Magnotta Construction Co Inc,1062 Rd,Saskatoon,SK,S7K 5J3,306-964-9291,loise@aol.com,http://www.magnottaconstructioncoinc.com,58,96,77,POL,Code085
